"titre";"rubrique";"id_langue";"resume";"sommaire";"accroche";"date_parution";"id_editeur";"id_collection";"dimension";"poids";"nb_pages";"id_format";"isbn10";"isbn13";"prix";"stock";"image";"edition"
"Programmez en orienté objet en PHP";"informatique";1;"Vous codez en PHP et vous voulez découvrir ou approfondir vos connaissances en orienté objet ? Ce livre est fait pour vous ! Il vous permettra de découvrir une nouvelle façon de concevoir vos projets, pour une maintenance et une distribution de votre code plus faciles !

23 chapitres de difficulté progressive
Des TP réguliers pour vous entrainer
Vous débutez en PHP Objet ?
Le seul prérequis est de maitriser le PHP
De nombreuses images pour vous guider pas à pas
Une pédagogie pensée pour ne perdre aucun lecteur
L'orienté objet en PHP pas à pas
Découvrez les avantages de l'orienté objet en PHP
Créez des classes et manipulez vos premiers objets
Définissez l'héritage de vos classes
Imposez un comportement à vos objets grâce aux interfaces
Protégez l'intégrité de vos objets avec l'encapsulation
Gérez les erreurs facilement en créant vos exceptions
Découvrez une nouvelle façon de concevoir vos projets avec l'UML
Pratiquez grâce aux TP : concevez un petit jeu de combat en ligne, réalisez un site web de A à Z
À qui ce livre est-il destiné ?
Aux passionnés qui veulent approfondir leurs connaissances en informatique
Aux étudiants dans le domaine des nouvelles technologies qui recherchent un support de cours
À toutes les personnes qui ont besoin de se former à la programmation orientée objet";NULL;NULL;18/01/07;2;NULL;"24 x 2,9 x 17 cm ";700;300;1;2212144725;"978-2212144727 ";29,9;5;NULL;2
"Administrez vos bases de données avec MySQL";"informatique";1;"Présentation de l'éditeur
Vous avez de nombreuses données à traiter et vous désirez les organiser avec un outil adapté ?

Cet ouvrage conçu pour les débutants vous apprendra à manipuler vos données, depuis la création d'une table jusqu'à la gestion des utilisateurs. Tout cela avec MySQL, le système de gestion de bases de données le plus répandu au monde !

Un cours pensé pour les débutants
Le seul pré-requis est de savoir allumer son ordinateur
Des exemples clairs et une pédagogie adaptée aux débutants
Aucune connaissance du SQL n est requise
Manipulez vos données en toute facilité !
Qu'est-ce qu'une base de données ?
Quel système choisir ? Pourquoi MySQL ?
Installez MySQL et créez votre première base de données
Initiez-vous au langage SQL et découvrez les différents types de données
Apprenez à manipuler les tables avec les requêtes et les jointures
Pratiquez grâce aux TP : créez la BDD d une animalerie, gérez votre bibliothèque, concevez un répertoire clients...
Exploitez vos données avec les calculs statistiques et les fonctions d'agrégation
Sécurisez vos données et gérez les utilisateurs des tables
À qui ce livre est-il destiné ?
Aux passionnés qui veulent approfondir leurs connaissances en informatique
Aux étudiants dans le domaine des nouvelles technologies qui recherchent un support de cours
À toutes les personnes qui ont besoin de se former ou de se convertir à la gestion de données";NULL;NULL;18/07/14;2;NULL;"24 x 2,9 x 17 cm ";700;544;1;NULL;"979-1090085671 ";24,9;3;NULL;3
"Les fleurs du mal";"poésie";1;"«Voici venir les temps où vibrant sur sa tige Chaque fleur s'évapore ainsi qu'un encensoir.» En juin 1857, Charles Baudelaire publie Les Fleurs du Mal, quelques mois seulement après que Flaubert a été jugé pour «outrage à la morale publique et religieuse et aux bonnes moeurs» à cause d'extraits de Madame Bovary jugés trop sulfureux. Sans surprise, il est accusé à son tour. La justice, qui a finalement acquitté le romancier, condamne le poète «maudit» et le contraint à supprimer six pièces, dont «Les Bijoux» et «Les Métamorphoses du vampire», pour leur caractère explicitement érotique et provocateur. Ce n'est qu'en 1949 que Baudelaire est réhabilité à titre posthume, la cour reconnaissant bien tard le «frisson nouveau» que ce recueil apporte à la littérature. ";NULL;NULL;10/05/15;1;NULL;"20,5 x 1 x 13 cm ";300;157;2;"229011507X ";"978-2290115077 ";2;2;NULL;5
"Une saison en enfer";"poésie";1;"Présentation de l'éditeur
jaquette illustration + phot . hors texte France-Empire , 1957 . --Ce texte fait référence à une édition épuisée ou non disponible de ce titre.
Quatrième de couverture
Après Une Saison en enfer et les Illuminations, déjà publiées dans la collection Arléa-Poche, voici le dernier volet de la production du poète : les oeuvres en vers. Rimbaud n'a jamais publié de recueil de poésies. Son oeuvre poétique se présente donc comme un tourbillon de feuilles volantes, dans lequel Remi Duhart a tenté de mettre un peu d'ordre. Sous le titre Poésies, on trouvera l'ensemble de l'oeuvre en vers du poète, du "" Cahier de Douai "" à l'"" Album Zutique "", ainsi que les Déserts de l'amour et les Proses évangéliques - rts de l'amour et les Proses évangéliques - --Ce texte fait référence à une édition épuisée ou non disponible de ce titre.
Biographie de l'auteur
Né à Charleville en 1854, Arthur Rimbaud rencontre en 1871 Verlaine auquel le lie une amitié passionnelle. Après avoir publié en 1873 Une Saison en enfer, il rompt avec la littérature et avec l'Europe, vit quelque temps comme commerçant et trafiquant d'armes au Harar, revient en 1891 en France où il meurt à Marseille après amputation d'une jambe. Les Illuminations, sa somme poétique, seront publiées après sa mort.

Né le 14 juin 1907 à l'Isle-sur-Sorgue, René Char fut très proche du surréalisme et participa activement à la Résistance pendant la dernière guerre. À partir de 1945, il consacre sa vie à une œuvre poétique qui lui vaut une audience internationale. Il est mort à Paris le 19 février 1988.";NULL;NULL;14/05/99;3;NULL;"17,5 x 10,7 x 1,8 cm ";450;342;1;2070409007;"978-2070409006";5;6;NULL;12
"Les regrets";"poésie";1;"En 1553, le poète originaire d'Anjou se rend à Rome afin d'y assister son oncle, le puissant cardinal Jean Du Bellay. Vivre entre les ruines du passé et les splendeurs du présent, c'est la promesse d'un rêve éveillé pour notre auteur nourri d'Antiquité et de civilisation italienne. Pour l'humaniste qu'il est, c'est aussi se retrouver aux sources d'une culture qui rayonne sur toute l'Europe. Pourtant, l'""étrange"" séjour romain s'apparente bientôt à une descente aux Enfers et ouvre la voie aux Regrets. Alternant l'élégie, la satire et l'éloge, Du Bellay y chante sa douleur et ses ennuis. Peut-être pour mieux donner à voir son habileté poétique...";NULL;NULL;10/06/13;3;NULL;" 17,9 x 1,2 x 12,7 cm";NULL;255;2;2081295636;"978-2081295636 ";6;3;NULL;6
"Antoine et Cléopâtre";"poésie";1;"CLÉOPÂTRE Donnez-moi ma robe, couronnez-moi. J'ai soifDe bien plus que la mort. Jamais plus maintenantLe vin de la grappe d'Égypte ne rafraîchira mes lèvres.Fais vite, ma chère Iras, fais vite et bien. Je crois entendreAntoine qui m'appelle";NULL;"Traduction nouvelle. Texte établi par Gisèle Venet. Édition bilingue";25/11/99;2;NULL;"17,9 x 10,8 x 2,3 cm ";NULL;528;2;2070409457;"978-2070409457";12,5;14;NULL;2
"Antoine Vitez";"poésie";1;"Acteur, metteur en scène, poète, Antoine Vitez (1930-1990) a marqué d'une empreinte profonde le théâtre contemporain français. Fondateur en 1972 du Théâtre des Quartiers d'Ivry, il propose un ""théâtre élitaire pour tous"", et réinvente ainsi le théâtre populaire";NULL;"Acteur, metteur en scène, poète, Antoine Vitez (1930-1990) a marqué d'une empreinte profonde le théâtre contemporain français";24/10/06;2;NULL;"10 x 1 x 10 cm ";NULL;131;2;2742762922;"978-2742762927";12,2;12;NULL;3
" La Fille qui rêvait d'un bidon d'essence et d'une allumette - Millénium, tome 2 (2006)";"polar";1;"Mikael Blomkvist retrouve Lisbeth Salander pour une enquète sur une sombre histoire de prostituées exportées des pays de l'Est.";NULL;NULL;21/10/01;2;NULL;"24 x 2,9 x 17 cm ";300;377;2;2212144725;"978-2111548727 ";7,2;5;NULL;2
" Le Crime de l'Orient - Express (1934)";"polar";1;"Dans l'Orient Express un homme est assassiné. Hercule Poirot tente de trouver l'assassin qui ne peut s'echapper du train, à cause de la neige. ";NULL;NULL;10/03/34;2;NULL;"24 x 2,9 x 17 cm ";600;884;2;NULL;"979-1190081991";12,9;3;NULL;3
"Le diable sur les épaules";"polar";1;"Au cours de l'année 1924, un village isolé des montagnes tarnaises et menacé d'extinction est le théâtre de plusieurs assassinats atroces. Déjà les langues se délient et certaines superstitions ressortent... Malgré tout, la jeune institutrice Camille refuse de céder à ces croyances d'un autre âge et appelle à la rescousse son ami d'enfance. Cet ancien criminologue, connu pour ses enquêtes autour du paranormal et qui ne voit dans ces morts suspectes que des crimes perpétrés par la main de l'homme, va mener l'enquête à sa façon... mais l'assassin l'a positionné sur son échiquier diabolique. Tout n'est désormais que tactique et manipulation.";NULL;NULL;13/06/13;2;NULL;"24 x 2,9 x 17 cm ";200;244;2;2266233645;"978-2266233644 ";8,2;35;NULL;1
